[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(2,7);(4,7);(6,7);(3,7)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(4,7);(2,7);(6,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(4,7);(6,7);(2,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(4,7);(6,7);(3,7);(2,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(3,7);(5,7);(6,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(2,7);(5,7);(6,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(5,7);(2,7);(6,7);(4,7)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(5,7);(6,7);(2,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(5,7);(6,7);(4,7);(2,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(5,7);(3,7);(6,7);(4,7)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(2,7);(3,7);(6,7);(4,7)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(3,7);(2,7);(6,7);(4,7)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(3,7);(6,7);(2,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(3,7);(6,7);(4,7);(2,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(5,7);(6,7);(3,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(2,7);(6,7);(3,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(6,7);(2,7);(3,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(6,7);(3,7);(2,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(6,7);(3,7);(4,7);(2,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(5,7);(6,7);(4,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(2,7);(6,7);(4,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(6,7);(2,7);(4,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(6,7);(4,7);(2,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(5,7);(6,7);(4,7);(3,7);(2,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(3,7);(4,7);(6,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(2,7);(4,7);(6,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(4,7);(2,7);(6,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(4,7);(6,7);(2,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(4,7);(6,7);(5,7);(2,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(4,7);(3,7);(6,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(4,7);(2,7);(3,7);(6,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(4,7);(3,7);(2,7);(6,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(4,7);(3,7);(6,7);(2,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(4,7);(3,7);(6,7);(5,7);(2,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(4,7);(6,7);(3,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(4,7);(2,7);(6,7);(3,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(4,7);(6,7);(2,7);(3,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(4,7);(6,7);(3,7);(2,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(4,7);(6,7);(3,7);(5,7);(2,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(4,7);(6,7);(5,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(4,7);(2,7);(6,7);(5,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(4,7);(6,7);(2,7);(5,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(4,7);(6,7);(5,7);(2,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(4,7);(6,7);(5,7);(3,7);(2,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(3,7);(6,7);(4,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(2,7);(6,7);(4,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(6,7);(2,7);(4,7);(5,7)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(6,7);(4,7);(2,7);(5,7)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(6,7);(4,7);(5,7);(2,7)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(6,7);(3,7);(4,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(2,7);(3,7);(4,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(3,7);(2,7);(4,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(3,7);(4,7);(2,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(3,7);(4,7);(5,7);(2,7)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(6,7);(4,7);(3,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(2,7);(4,7);(3,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(4,7);(2,7);(3,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(4,7);(3,7);(2,7);(5,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(4,7);(3,7);(5,7);(2,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(6,7);(4,7);(5,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(2,7);(4,7);(5,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(4,7);(2,7);(5,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(4,7);(5,7);(2,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(4,7);(5,7);(3,7);(2,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(3,7);(6,7);(5,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(2,7);(6,7);(5,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(6,7);(2,7);(5,7);(4,7)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(6,7);(5,7);(2,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(3,7);(6,7);(5,7);(4,7);(2,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(6,7);(3,7);(5,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(2,7);(3,7);(5,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(3,7);(2,7);(5,7);(4,7)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(3,7);(5,7);(2,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(3,7);(5,7);(4,7);(2,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(6,7);(5,7);(3,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(2,7);(5,7);(3,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(5,7);(2,7);(3,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(5,7);(3,7);(2,7);(4,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(5,7);(3,7);(4,7);(2,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(2,7);(6,7);(5,7);(4,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(2,7);(5,7);(4,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(5,7);(2,7);(4,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(5,7);(4,7);(2,7);(3,7)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(1,7);(6,7);(5,7);(4,7);(3,7);(2,7)]: NOT SNI
